cod_loc	cava_min	loc_monte	valle 	comune	distr_pref	provincia	regione	dipartimento	stato	nazione	note	cod_mindat
Bird_Nest_01	Bird Nest drift, Otto Mountain, Baker, Soda Mts, Silver Lake Mining District, San Bernardino Co., California									U.S.A.		205196
Biscia_01		Rocca della Biscia		Urbe		Savona	Liguria			Italia		
Blanche_01		Ghiacciaio di Lex Blanche, Massiccio del Monte Bianco	Val Veny	Courmayeur		Aosta	Valle d'Aosta			Italia		187644
Blaton_01		Mont-des-Groseillers		Blaton		  Hainaut (Henegouwen; Hennegau)				Belgio		282
Blika_01	Blika gold mine, Svartdal, Seljord, Vestfold og Telemark, Norway											
Blue_Bell_01	Blue Bell claims (Hard Luck claims), Baker, San Bernardino Co.								California	U.S.A.		144880
Boa_Vista_01	Boa Vista pegmatite	Laranjeiras,  Galiléia,  Doce valley					Southeast region		Minas Gerais	Brasile		8769
Boarezzo_01	Miniera di Boarezzo			Boarezzo		Varese	Lombardia			Italia		29847
Boca_Rica_01		Boca Rica claim,  Sapucaia do Norte,  Galiléia,  Doce valley,  Minas Gerais								Brasile		52785
Bode_01	Bode claim, Conselheiro Pena, Doce valley, Minas Gerais									Brasile		203509
Bolivia_01										Bolivia		
Bond_01	Bond Zone, Columbium Mining Products, Oka complex, Oka, Deux-Montagnes RCM, Laurentides								Québec	Canada		208506
Bonu_01	Miniera Giovanni Bonu			San Vito		Cagliari	Sardegna			Italia		54999
Borcola_01	Cava del Passo della Borcola			Posina		Vicenza	Veneto			Italia		159421
Borgofranco_01	Galleria Torinese - Miniere di Borgofranco	Biò		Borgofranco d'Ivrea		Torino	Piemonte			Italia		125521
Borgofranco_02	Galleria Venezia - Miniere di Borgofranco	Biò		Borgofranco d'Ivrea		Torino	Piemonte			Italia		125521
Borgofranco_03	Galleria Romana - Miniere di Borgofranco	Biò		Borgofranco d'Ivrea		Torino	Piemonte			Italia		125521
Borgofranco_04	Galleria Garibaldi			Borgofranco d'Ivrea		Torino	Piemonte			Italia		
Borgofranco_05	Galleria Inglese			Borgofranco d'Ivrea		Torino	Piemonte			Italia		
Bormida_01			Valle Bormida			Savona	Liguria			Italia		
Borstein_01	Borstein, Reichenbach, Bensheim, Odenwald, Hesse									Germany		31903
Borstein_02	Fundpunkt 8.0, Borstein, Reichenbach, Lautertal (Odenwald), Odenwald, Hessen									Germany		4428
Bosa_01				Bosa		Oristano	Sardegna			Italia		21998
Bottino_01	Miniera del Bottino	 Alpi Apuane		Stazzema		Lucca	Toscana			Italia		8824
BouAzzer_01					Bou Azzer	Ourzazate	Souss Massa Draa			Marocco		
BouAzzer_02	Aït Ahmane, Bou Azzer District, Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region									Marocco		11595
BouAzzer_03	Oumlil Mine (incl. Oumlil East Mine), Oumlil, Bou Azzer District, Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region									Marocco		56292
BouAzzer_04	Aghbar, Bou Azer District (Bou Azzer District), Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region									Marocco		123409
BouAzzer_05	Ightem Mine, Bou Azer District, Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region									Marocco		11607
BouAzzer_06	Méchoui deposit, Méchoui, Bou Azer District, Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region									Marocco		123388
BouAzzer_07	Agoudal, Bou Azer District, Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region									Marocco		133546
BouAzzer_08	Vein No. 2, Bou Azer, Bou Azer District, Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region									Marocco		123393
Boulby_01	Boulby mine			Loftus					Yorkshire	United Kingdom		832
Bovo_01		Canal San Bovo				Trento	Trentino - Alto Adige			Italia		146141
Bracco_01		Monte Bracco	Valle Po	Rifreddo		Cuneo	Piemonte			Italia		187480
Bratte_01		Campi delle Bratte	Valmozzola			Parma	Emilia Romagna			Italia		186743
Bregaceto_01		Monte Bregaceto		Borzonasca		Genova	Liguria			Italia		14454
Breitenau_01	Breitenau Mine (Breitenau magnesite mine), Hochlantsch, St. Jakob-Breitenau, Fischbacher Alpen, Styria									Austria		6406
Brembana_01		Laghi Gemelli	Val Brembana			Bergamo	Lombardia			Italia		
Breno_01		"Località di scorie, Breno, Alto Malcantone, Malcantone, Ticino (Tessin)

"								Svizzera		122686
Brenva_01		Ghiacciaio della Brenva, Massiccio del Monte Bianco	Val Veny	Courmayeur			Valle d'Aosta			Italia		64139
BrokenHill_01	Kabwe Mine (Broken Hill Mine)	Kabwe (Broken Hill)				Central Province				Zambia		4341
Brosso_01	Miniera di Brosso	Cálea		Léssolo/Brosso	Canavese	Torino	Piemonte			Italia		2078
Brosso_02	Miniera di Brosso, Livello Gierinere			Lessolo - Brosso		Torino	Piemonte			Italia		
Bruguers_01	Bruguers, Gavà, Baix Llobregat, Barcelona, Catalonia									Spagna		204281
Brunita_01	Brunita Quarry, La Peraleja, Sierra Minera de Cartagena-La Unión, La Unión, Murcia									Spagna		65194
Brusson_01	Miniera di Brusson		Val d'Ayas	Brusson		Aosta	Valle d'Aosta			Italia		25821
Buca_Vena_01	Miniera di Buca della Vena	Ponte Stazzemese, Alpi Apuane		Stazzema		Lucca	Toscana			Italia		2165
Buick_01	Buick Mine, Bixby, Viburnum Trend District, Iron Co., Missouri, USA											3871
Bukov_01	Bukov Mine, Ro?ná deposit, Vyso?ina Region, Moravia									Repubblica Ceca		757
Burro_01	Burro Mine (C-SR-13 Mesa), Slick Rock District, San Miguel Co.								Colorado	U.S.A.		5966
Ca_Visco_01		Cà Visco, Le Colombare		Soave		Verona	Veneto			Italia		
Cacciano_01	Miniera Cacciano			Curino		Biella	Piemonte			Italia		190015
Cactus_01	Cactus Rat Mine, Cisco, Yellow Cat District, Grand Co., Utah									U.S.A.		4152
Cadarese_01	Cave di Cadarese			Premia		Verbano-Cusio-Ossola	Piemonte			Italia		30213
Cala_Francese_01	Cave di Cala Francese	Isola di La Maddalena		La Maddalena		Olbia-Tempio Pausania	Sardegna			Italia		22013
Calabona_01	Miniera Calabona			Alghero		Sassari	Sardegna			Italia		2120
Calvarina_01	Monte Calvarina			Roncà		Verona	Veneto			Italia		28388
Calvario_01		Monte Calvario		Biancavilla	Complesso vulcanico dell'Etna	Catania	Sicilia			Italia		29741
Camaggiore_01		Camaggiore, Vendrogno, Lecco Province, Lombardy								Italia		56780
Camosci_01		Piano dei Camosci	Val Formazza			Verbano-Cusio-Ossola	Piemonte			Italia		123163
Campegli_01	Miniera di Campegli			Castiglione Chiavarese		Genova	Liguria			Italia		16255
Campiano_01	Miniera di Campiano			Montieri		Grosseto	Toscana			Italia		2141
Candoglia_01	Cave di Candoglia			Mergozzo		Verbano-Cusio-Ossola	Piemonte			Italia		2101
Cane_01	Snyder Mine, Cane Creek, San Juan Co., Utah, USA											6444
Cantonnier_01	Le Cantonnier vein, Nontron, Nontron, Dordogne, Nouvelle-Aquitaine									Francia		47442
Cap_Garonne_01	Mine du Cap Garonne, Le Pradet, Var, Provence-Alpes-Côte d'Azur									Francia		1747
Capranica_01		Lago di Vico		Capranica		Viterbo	Lazio			Italia		26973
Carandon_Hill_01	Caradon Hill, St Cleer, Liskeard District, Cornwall, England									Regno Unito		236938
Carcare_01				Carcare		Savona	Liguria			Italia		
Carguaicollo_01	Carguaicollo Mine, Antonio Quijarro Province, Potosí									Bolivia		23752
Carlos_01		San Carlos				Chihuahua				Messico		
Carmen_01	Mina Nuestra Señora del Carmen			La Celia, Jumilla			Murcia			Spagna		18320
Carnoet_01	Slag dumps, Menez-Plom, Carnoët, Callac, Côtes-d'Armor, Brittany									Francia		42092
Carona_01	Cava di ardesia		Val Brembana	Carona		Bergamo	Lombardia			Italia		166614
Carr_Boyd_01	Carr Boyd Rocks Ni mine, Menangina Station, Menzies Shire, Western Australia									Australia		219
Carrara_01	Cave di Carrara	Alpi Apuane		Carrara		Massa-Carrara	Toscana			Italia		2147
Carrock_01	Carrock Mine, Carrock Fell, Caldbeck Fells, North and Western Region (Cumberland), Cumbria, England									Regno Unito		1425
Casapalca_01	Casapalca Mine, Casapalca, Huarochiri Province, Lima Department									Perù		5407
Case_Berge_01		Case Berge	Val di Susa	Salbertrand		Torino	Piemonte			Italia		188506
Case_Collina_01	Cava Toscopomici	Case Collina		Pitigliano		Grosseto	Toscana			Italia		8305
Caspari_01	Caspari Mine	Uentrop,  Arnsberg,  Sauerland,  North Rhine-Westphalia								Germany		9669
Cassafrera_01		Piano di Cassafrera	Val di Susa	San Giorio/Villar Focchiardo		Torino	Piemonte			Italia		189809
Cassagna_01	Miniera di Cassagna		Val Graveglia	Ne		Genova	Liguria			Italia		7019
Castellaccio_01	Rocca Castellaccio		Val Malenco	Ciappanico, Torre Santa Maria		Sondrio	Lombardia			Italia		25891
Castello_01		Monte Castello	Valle dei Mercanti	Torrebelvicino		Vicenza	Veneto			Italia		187181
Castelnuovo_01	Miniera di Castelnuovo	Distretto lignifero di Santa Barbara	Valdarno	Cavriglia		Arezzo	Toscana			Italia		21094
Catalina_01	Santa Catalina Mine, Caracoles, Sierra Gorda District, Antofagasta Province, Antofagasta Region, Chile											54260
Cavallaria_01	Cave di Cavallaria (Cave Frent; Cave Alpetta, Piani e Rio Freddo)	Monte Cavallaria		Brosso		Torino	Piemonte			Italia		122720
Cavalluccio_01		Monte Cavalluccio, caldera di Sacrofano		Campagnano di Roma		Roma	Lazio			Italia		22746
Cavnic_01		Cavnic (Kapnic; Kapnik),  Maramures Co.								Romania		18607
Cedec_01			Val Cedec, Valfurva, Alta Valtellina			Sondrio	Lombardia			Italia		205831
Cedo_01		Rio del Castello - Alpe Cedo	Val Vigezzo, Val d'Ossola	Santa Maria Maggiore		Verbano-Cusio-Ossola	Piemonte			Italia		31062
Ceilhes_01		Ceilhes-et-Rocozels, Hérault								Francia		205265
Cene_01		Monte Bò, S.P. 40	Valle Rossa	Cene		Bergamo	Lombardia			Italia		191339
Cerchiara_01	Miniera di Cerchiara		Val di Vara	Borghetto Vara / Pignone		La Spezia	Liguria			Italia		4430
Cerealto_01		Contrada Re	Valdagno	Cerealto		Vicenza	Veneto			Italia		133374
Cero_01		Monte Cero, colli Euganei		Baone		Padova	Veneto			Italia		143473
Cerro_Minado_01	Cerro Minado Mines, Cuesta Alta, Huércal-Overa, Almería, Andalusia									Spagna		241637
Cerva_01	Cerva e Lim?es, Ribeira de Pena, Vila Real									Portogallo		249785
Cervandone_01		Monte Cervandone, Alpe Devero	Valle Devero, Val d'Ossola	Baceno		Verbano-Cusio-Ossola	Piemonte			Italia		2085
Cervetto_01	Colle di Cervetto, Val Varaita, Massiccio Dora Maira			Sampeyre		Cuneo	Piemonte			Italia		189849
Cervo_01			Valle Cervo			Biella	Piemonte			Italia		123120
Cervo_02	Cava Colombari		Valle Cervo	San Paolo Cervo		Biella	Piemonte			Italia		
Cervo_03	Cava Vej della Balma		Valle Cervo	San Paolo Cervo		Biella	Piemonte			Italia		
Cetine_01	Le Cetine di Cotorniano	Rosia		Chiusdino		Siena	Toscana			Italia		2164
Chah_Khouni_01	Chah Khouni Mine (Chah Khoni Mine; Tschah Khuni Mine; El Khun Mine), Anarak District, Nain County (Nayin County), Esfahan Province (Isfahan Province; Aspadana Province)									Iran		25262
Chaillac_01	Chaillac Mine, Chaillac, Indre, Centre									Francia		12773
Champorcher_01		Monte Delà	Valle di Champorcher	Champorcher			Valle d'Aosta			Italia		189854
Charbes_01	Charbes Sb Veins, Lalaye, Sélestat-Erstein, Bas-Rhin, Grand Est, France											10015
Chemin_01	Mont Chemin, Martigny, Valais									Svizzera		29207
Chessy_01				Chessy-les-Mines	Rhone			Rhone-Alpes		Francia		1728
Chevres_01	Ravin des Chèvres (Rivaux Grands), Le Mont-Dore, Rochefort-Montagne, Puy-de-Dôme, Auvergne									Francia		159540
Chiandusseglio_01		Chiandusseglio	Val di Viù, Valli di Lanzo	Lemie		Torino	Piemonte			Italia		188026
Chiavenna_01				Chiavenna		Sondrio	Lombardia			Italia		215421
Chiessi_01	Cava Chiessi			Marciano		Livorno	Toscana			Italia		
Chiomonte_01		SP233 km 1	Val di Susa	Chiomonte		Torino	Piemonte			Italia		
Chironico_01	Val di Chironico, Leventina, Ticino									Svizzera		191917
Chistafort_01		Punta Chistafort		Entracque		Cuneo	Piemonte			Italia		189846
Christmas_01	Christmas Mine (Red Bird shafts; Inspiration Mine; Hackberry shafts), Christmas, Christmas area, Banner District, Dripping Spring Mts, Gila Co.								Arizona	U.S.A.		3326
Ciappanico_01			Val Malenco	Ciappanico		Sondrio	Lombardia			Italia		193199
Ciarva_01		Testa Ciarva	Val d'Ala - Valli di Lanzo	Balma		Torino	Piemonte			Italia		14551
Cierna_Lehota_01		?ierna Lehota, Bánovce nad Bebravou District, Tren?ín Region								Slovacchia		190355
